metric,value,unit,date,period,form,fiscal_year,filed_date
Assets,381191000000.0,USD,2021-12-25,Q1,10-Q,2022,2022-01-28
NetIncomeLoss,34630000000.0,USD,2021-12-25,Q1,10-Q,2022,2022-01-28
GrossProfit,54243000000.0,USD,2021-12-25,Q1,10-Q,2023,2023-02-03
RevenueFromContractWithCustomerExcludingAssessedTax,123945000000.0,USD,2021-12-25,Q1,10-Q,2022,2022-01-28
RevenueFromContractWithCustomerExcludingAssessedTax,123945000000.0,USD,2021-12-25,Q1,10-Q,2023,2023-02-03
CostOfGoodsAndServicesSold,69702000000.0,USD,2021-12-25,Q1,10-Q,2023,2023-02-03
CostOfGoodsAndServicesSold,69702000000.0,USD,2021-12-25,Q1,10-Q,2022,2022-01-28
EarningsPerShareDiluted,2.1,USD/shares,2021-12-25,Q1,10-Q,2023,2023-02-03
GrossProfit,54243000000.0,USD,2021-12-25,Q1,10-Q,2022,2022-01-28
StockholdersEquity,63090000000.0,USD,2021-09-25,Q2,10-Q,2023,2023-05-05
StockholdersEquity,63090000000.0,USD,2021-09-25,Q1,10-Q,2023,2023-02-03
StockholdersEquity,63090000000.0,USD,2021-09-25,Q3,10-Q,2023,2023-08-04
CashAndCashEquivalentsAtCarryingValue,34940000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
StockholdersEquity,63090000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
CashAndCashEquivalentsAtCarryingValue,34940000000.0,USD,2021-09-25,Q1,10-Q,2022,2022-01-28
StockholdersEquity,63090000000.0,USD,2021-09-25,Q3,10-Q,2022,2022-07-29
StockholdersEquity,63090000000.0,USD,2021-09-25,Q2,10-Q,2022,2022-04-29
CashAndCashEquivalentsAtCarryingValue,34940000000.0,USD,2021-09-25,Q2,10-Q,2022,2022-04-29
EarningsPerShareBasic,5.67,USD/shares,2021-09-25,FY,10-K,2022,2022-10-28
CashAndCashEquivalentsAtCarryingValue,34940000000.0,USD,2021-09-25,Q3,10-Q,2022,2022-07-29
EarningsPerShareBasic,5.67,USD/shares,2021-09-25,FY,10-K,2023,2023-11-03
EarningsPerShareBasic,5.67,USD/shares,2021-09-25,FY,10-K,2021,2021-10-29
EarningsPerShareDiluted,5.61,USD/shares,2021-09-25,FY,10-K,2022,2022-10-28
EarningsPerShareDiluted,5.61,USD/shares,2021-09-25,FY,10-K,2023,2023-11-03
CashAndCashEquivalentsAtCarryingValue,34940000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
StockholdersEquity,63090000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
EarningsPerShareDiluted,5.61,USD/shares,2021-09-25,FY,10-K,2021,2021-10-29
StockholdersEquity,63090000000.0,USD,2021-09-25,FY,10-K,2023,2023-11-03
StockholdersEquity,63090000000.0,USD,2021-09-25,FY,10-K,2024,2024-11-01
StockholdersEquity,63090000000.0,USD,2021-09-25,Q1,10-Q,2022,2022-01-28
AssetsCurrent,134836000000.0,USD,2021-09-25,Q2,10-Q,2022,2022-04-29
LiabilitiesCurrent,125481000000.0,USD,2021-09-25,Q2,10-Q,2022,2022-04-29
GrossProfit,152836000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
LiabilitiesCurrent,125481000000.0,USD,2021-09-25,Q1,10-Q,2022,2022-01-28
LiabilitiesCurrent,125481000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
Assets,351002000000.0,USD,2021-09-25,Q3,10-Q,2022,2022-07-29
Assets,351002000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
RevenueFromContractWithCustomerExcludingAssessedTax,365817000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
RevenueFromContractWithCustomerExcludingAssessedTax,365817000000.0,USD,2021-09-25,FY,10-K,2023,2023-11-03
GrossProfit,152836000000.0,USD,2021-09-25,FY,10-K,2023,2023-11-03
GrossProfit,152836000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
CostOfGoodsAndServicesSold,212981000000.0,USD,2021-09-25,FY,10-K,2023,2023-11-03
LiabilitiesCurrent,125481000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
Liabilities,287912000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
Liabilities,287912000000.0,USD,2021-09-25,Q3,10-Q,2022,2022-07-29
Liabilities,287912000000.0,USD,2021-09-25,Q2,10-Q,2022,2022-04-29
Liabilities,287912000000.0,USD,2021-09-25,Q1,10-Q,2022,2022-01-28
Liabilities,287912000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
AssetsCurrent,134836000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
AssetsCurrent,134836000000.0,USD,2021-09-25,Q1,10-Q,2022,2022-01-28
AssetsCurrent,134836000000.0,USD,2021-09-25,Q3,10-Q,2022,2022-07-29
LiabilitiesCurrent,125481000000.0,USD,2021-09-25,Q3,10-Q,2022,2022-07-29
AssetsCurrent,134836000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
Assets,351002000000.0,USD,2021-09-25,Q2,10-Q,2022,2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,365817000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
CostOfGoodsAndServicesSold,212981000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
CostOfGoodsAndServicesSold,212981000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
Assets,351002000000.0,USD,2021-09-25,Q1,10-Q,2022,2022-01-28
OperatingIncomeLoss,108949000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
NetIncomeLoss,94680000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
NetIncomeLoss,94680000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
NetIncomeLoss,94680000000.0,USD,2021-09-25,FY,10-K,2023,2023-11-03
Assets,351002000000.0,USD,2021-09-25,FY,10-K,2021,2021-10-29
OperatingIncomeLoss,108949000000.0,USD,2021-09-25,FY,10-K,2022,2022-10-28
OperatingIncomeLoss,108949000000.0,USD,2021-09-25,FY,10-K,2023,2023-11-03
NetIncomeLoss,21744000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
NetIncomeLoss,21744000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
OperatingIncomeLoss,24126000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
GrossProfit,117662000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
OperatingIncomeLoss,85163000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
OperatingIncomeLoss,85163000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
AssetsCurrent,114423000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
EarningsPerShareBasic,1.31,USD/shares,2021-06-26,Q3,10-Q,2022,2022-07-29
GrossProfit,35255000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
Assets,329840000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
GrossProfit,117662000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
EarningsPerShareBasic,1.31,USD/shares,2021-06-26,Q3,10-Q,2021,2021-07-28
EarningsPerShareBasic,4.42,USD/shares,2021-06-26,Q3,10-Q,2022,2022-07-29
RevenueFromContractWithCustomerExcludingAssessedTax,81434000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
GrossProfit,35255000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
Liabilities,265560000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
NetIncomeLoss,74129000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
NetIncomeLoss,74129000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
CostOfGoodsAndServicesSold,164795000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
CostOfGoodsAndServicesSold,164795000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
CostOfGoodsAndServicesSold,46179000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
CostOfGoodsAndServicesSold,46179000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
RevenueFromContractWithCustomerExcludingAssessedTax,81434000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
RevenueFromContractWithCustomerExcludingAssessedTax,282457000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
RevenueFromContractWithCustomerExcludingAssessedTax,282457000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
StockholdersEquity,64280000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
StockholdersEquity,64280000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
EarningsPerShareDiluted,1.3,USD/shares,2021-06-26,Q3,10-Q,2022,2022-07-29
EarningsPerShareDiluted,1.3,USD/shares,2021-06-26,Q3,10-Q,2021,2021-07-28
EarningsPerShareDiluted,4.38,USD/shares,2021-06-26,Q3,10-Q,2022,2022-07-29
EarningsPerShareDiluted,4.38,USD/shares,2021-06-26,Q3,10-Q,2021,2021-07-28
OperatingIncomeLoss,24126000000.0,USD,2021-06-26,Q3,10-Q,2022,2022-07-29
LiabilitiesCurrent,107754000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
EarningsPerShareBasic,4.42,USD/shares,2021-06-26,Q3,10-Q,2021,2021-07-28
CashAndCashEquivalentsAtCarryingValue,34050000000.0,USD,2021-06-26,Q3,10-Q,2021,2021-07-28
RevenueFromContractWithCustomerExcludingAssessedTax,89584000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,201023000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,201023000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
EarningsPerShareBasic,3.11,USD/shares,2021-03-27,Q2,10-Q,2021,2021-04-29
EarningsPerShareBasic,3.11,USD/shares,2021-03-27,Q2,10-Q,2022,2022-04-29
EarningsPerShareBasic,1.41,USD/shares,2021-03-27,Q2,10-Q,2021,2021-04-29
EarningsPerShareBasic,1.41,USD/shares,2021-03-27,Q2,10-Q,2022,2022-04-29
CostOfGoodsAndServicesSold,51505000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
NetIncomeLoss,52385000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
NetIncomeLoss,52385000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
NetIncomeLoss,23630000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
NetIncomeLoss,23630000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,89584000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
CostOfGoodsAndServicesSold,51505000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
CashAndCashEquivalentsAtCarryingValue,38466000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
GrossProfit,82407000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
EarningsPerShareDiluted,3.08,USD/shares,2021-03-27,Q2,10-Q,2022,2022-04-29
EarningsPerShareDiluted,1.4,USD/shares,2021-03-27,Q2,10-Q,2021,2021-04-29
CostOfGoodsAndServicesSold,118616000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
CostOfGoodsAndServicesSold,118616000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
EarningsPerShareDiluted,1.4,USD/shares,2021-03-27,Q2,10-Q,2022,2022-04-29
OperatingIncomeLoss,27503000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
Liabilities,267980000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
StockholdersEquity,69178000000.0,USD,2021-03-27,Q3,10-Q,2022,2022-07-29
StockholdersEquity,69178000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
GrossProfit,82407000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
LiabilitiesCurrent,106385000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
GrossProfit,38079000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
GrossProfit,38079000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
AssetsCurrent,121465000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
Assets,337158000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
StockholdersEquity,69178000000.0,USD,2021-03-27,Q3,10-Q,2021,2021-07-28
StockholdersEquity,69178000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
OperatingIncomeLoss,61037000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
OperatingIncomeLoss,61037000000.0,USD,2021-03-27,Q2,10-Q,2022,2022-04-29
OperatingIncomeLoss,27503000000.0,USD,2021-03-27,Q2,10-Q,2021,2021-04-29
EarningsPerShareDiluted,3.08,USD/shares,2021-03-27,Q2,10-Q,2021,2021-04-29
CostOfGoodsAndServicesSold,67111000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
EarningsPerShareDiluted,1.68,USD/shares,2020-12-26,Q1,10-Q,2022,2022-01-28
EarningsPerShareBasic,1.7,USD/shares,2020-12-26,Q1,10-Q,2022,2022-01-28
EarningsPerShareDiluted,1.68,USD/shares,2020-12-26,Q1,10-Q,2021,2021-01-28
CostOfGoodsAndServicesSold,67111000000.0,USD,2020-12-26,Q1,10-Q,2022,2022-01-28
GrossProfit,44328000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
GrossProfit,44328000000.0,USD,2020-12-26,Q1,10-Q,2022,2022-01-28
OperatingIncomeLoss,33534000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
OperatingIncomeLoss,33534000000.0,USD,2020-12-26,Q1,10-Q,2022,2022-01-28
EarningsPerShareBasic,1.7,USD/shares,2020-12-26,Q1,10-Q,2021,2021-01-28
NetIncomeLoss,28755000000.0,USD,2020-12-26,Q1,10-Q,2022,2022-01-28
AssetsCurrent,154106000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
Assets,354054000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
Liabilities,287830000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
StockholdersEquity,66224000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
RevenueFromContractWithCustomerExcludingAssessedTax,111439000000.0,USD,2020-12-26,Q1,10-Q,2022,2022-01-28
StockholdersEquity,66224000000.0,USD,2020-12-26,Q2,10-Q,2021,2021-04-29
StockholdersEquity,66224000000.0,USD,2020-12-26,Q1,10-Q,2022,2022-01-28
StockholdersEquity,66224000000.0,USD,2020-12-26,Q2,10-Q,2022,2022-04-29
NetIncomeLoss,28755000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
RevenueFromContractWithCustomerExcludingAssessedTax,111439000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
LiabilitiesCurrent,132507000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
CashAndCashEquivalentsAtCarryingValue,36010000000.0,USD,2020-12-26,Q1,10-Q,2021,2021-01-28
CostOfGoodsAndServicesSold,169559000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
LiabilitiesCurrent,105392000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
CostOfGoodsAndServicesSold,169559000000.0,USD,2020-09-26,FY,10-K,2022,2022-10-28
CostOfGoodsAndServicesSold,169559000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
EarningsPerShareBasic,3.31,USD/shares,2020-09-26,FY,10-K,2020,2020-10-30
GrossProfit,104956000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
GrossProfit,104956000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
GrossProfit,104956000000.0,USD,2020-09-26,FY,10-K,2022,2022-10-28
LiabilitiesCurrent,105392000000.0,USD,2020-09-26,Q2,10-Q,2021,2021-04-29
GrossProfit,24689000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
Liabilities,258549000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
LiabilitiesCurrent,105392000000.0,USD,2020-09-26,Q1,10-Q,2021,2021-01-28
EarningsPerShareDiluted,0.73,USD/shares,2020-09-26,FY,10-K,2020,2020-10-30
LiabilitiesCurrent,105392000000.0,USD,2020-09-26,Q3,10-Q,2021,2021-07-28
EarningsPerShareDiluted,3.28,USD/shares,2020-09-26,FY,10-K,2020,2020-10-30
EarningsPerShareDiluted,3.28,USD/shares,2020-09-26,FY,10-K,2021,2021-10-29
EarningsPerShareDiluted,3.28,USD/shares,2020-09-26,FY,10-K,2022,2022-10-28
EarningsPerShareBasic,3.31,USD/shares,2020-09-26,FY,10-K,2021,2021-10-29
LiabilitiesCurrent,105392000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
StockholdersEquity,65339000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
StockholdersEquity,65339000000.0,USD,2020-09-26,Q1,10-Q,2021,2021-01-28
StockholdersEquity,65339000000.0,USD,2020-09-26,Q2,10-Q,2021,2021-04-29
StockholdersEquity,65339000000.0,USD,2020-09-26,Q3,10-Q,2021,2021-07-28
StockholdersEquity,65339000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
StockholdersEquity,65339000000.0,USD,2020-09-26,Q1,10-Q,2022,2022-01-28
StockholdersEquity,65339000000.0,USD,2020-09-26,FY,10-K,2023,2023-11-03
StockholdersEquity,65339000000.0,USD,2020-09-26,FY,10-K,2022,2022-10-28
Liabilities,258549000000.0,USD,2020-09-26,Q3,10-Q,2021,2021-07-28
Liabilities,258549000000.0,USD,2020-09-26,Q2,10-Q,2021,2021-04-29
Liabilities,258549000000.0,USD,2020-09-26,Q1,10-Q,2021,2021-01-28
Liabilities,258549000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
CashAndCashEquivalentsAtCarryingValue,38016000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
CashAndCashEquivalentsAtCarryingValue,38016000000.0,USD,2020-09-26,Q1,10-Q,2021,2021-01-28
CashAndCashEquivalentsAtCarryingValue,38016000000.0,USD,2020-09-26,Q2,10-Q,2021,2021-04-29
CashAndCashEquivalentsAtCarryingValue,38016000000.0,USD,2020-09-26,Q3,10-Q,2021,2021-07-28
CashAndCashEquivalentsAtCarryingValue,38016000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
Assets,323888000000.0,USD,2020-09-26,Q2,10-Q,2021,2021-04-29
Assets,323888000000.0,USD,2020-09-26,Q1,10-Q,2021,2021-01-28
Assets,323888000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
NetIncomeLoss,12673000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
NetIncomeLoss,57411000000.0,USD,2020-09-26,FY,10-K,2022,2022-10-28
NetIncomeLoss,57411000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
NetIncomeLoss,57411000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
StockholdersEquity,65339000000.0,USD,2020-09-26,Q3,10-Q,2022,2022-07-29
EarningsPerShareBasic,0.74,USD/shares,2020-09-26,FY,10-K,2020,2020-10-30
EarningsPerShareBasic,3.31,USD/shares,2020-09-26,FY,10-K,2022,2022-10-28
RevenueFromContractWithCustomerExcludingAssessedTax,64698000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
Assets,323888000000.0,USD,2020-09-26,Q3,10-Q,2021,2021-07-28
Assets,323888000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
OperatingIncomeLoss,66288000000.0,USD,2020-09-26,FY,10-K,2022,2022-10-28
RevenueFromContractWithCustomerExcludingAssessedTax,274515000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
RevenueFromContractWithCustomerExcludingAssessedTax,274515000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
AssetsCurrent,143713000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
AssetsCurrent,143713000000.0,USD,2020-09-26,Q3,10-Q,2021,2021-07-28
AssetsCurrent,143713000000.0,USD,2020-09-26,Q2,10-Q,2021,2021-04-29
AssetsCurrent,143713000000.0,USD,2020-09-26,Q1,10-Q,2021,2021-01-28
AssetsCurrent,143713000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
RevenueFromContractWithCustomerExcludingAssessedTax,274515000000.0,USD,2020-09-26,FY,10-K,2022,2022-10-28
OperatingIncomeLoss,66288000000.0,USD,2020-09-26,FY,10-K,2020,2020-10-30
OperatingIncomeLoss,66288000000.0,USD,2020-09-26,FY,10-K,2021,2021-10-29
StockholdersEquity,65339000000.0,USD,2020-09-26,Q2,10-Q,2022,2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,59685000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
CostOfGoodsAndServicesSold,129550000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
CostOfGoodsAndServicesSold,37005000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
CostOfGoodsAndServicesSold,37005000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
CostOfGoodsAndServicesSold,129550000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
RevenueFromContractWithCustomerExcludingAssessedTax,59685000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
RevenueFromContractWithCustomerExcludingAssessedTax,59685000000.0,USD,2020-06-27,FY,10-K,2020,2020-10-30
EarningsPerShareBasic,0.65,USD/shares,2020-06-27,FY,10-K,2020,2020-10-30
EarningsPerShareDiluted,0.65,USD/shares,2020-06-27,Q3,10-Q,2021,2021-07-28
EarningsPerShareDiluted,0.65,USD/shares,2020-06-27,FY,10-K,2020,2020-10-30
StockholdersEquity,72282000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
StockholdersEquity,72282000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
LiabilitiesCurrent,95318000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
Liabilities,245062000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
RevenueFromContractWithCustomerExcludingAssessedTax,209817000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
AssetsCurrent,140065000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
CashAndCashEquivalentsAtCarryingValue,33383000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
Assets,317344000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
NetIncomeLoss,11253000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
NetIncomeLoss,11253000000.0,USD,2020-06-27,FY,10-K,2020,2020-10-30
NetIncomeLoss,11253000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
NetIncomeLoss,44738000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
NetIncomeLoss,44738000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
EarningsPerShareBasic,10.25,USD/shares,2020-06-27,Q3,10-Q,2020,2020-07-31
EarningsPerShareBasic,2.56,USD/shares,2020-06-27,Q3,10-Q,2021,2021-07-28
EarningsPerShareBasic,2.61,USD/shares,2020-06-27,Q3,10-Q,2020,2020-07-31
EarningsPerShareBasic,0.65,USD/shares,2020-06-27,Q3,10-Q,2021,2021-07-28
OperatingIncomeLoss,13091000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
OperatingIncomeLoss,13091000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
OperatingIncomeLoss,51513000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
OperatingIncomeLoss,51513000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
GrossProfit,22680000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
GrossProfit,22680000000.0,USD,2020-06-27,FY,10-K,2020,2020-10-30
GrossProfit,22680000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
GrossProfit,80267000000.0,USD,2020-06-27,Q3,10-Q,2021,2021-07-28
GrossProfit,80267000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
EarningsPerShareDiluted,10.16,USD/shares,2020-06-27,Q3,10-Q,2020,2020-07-31
EarningsPerShareDiluted,2.54,USD/shares,2020-06-27,Q3,10-Q,2021,2021-07-28
EarningsPerShareDiluted,2.58,USD/shares,2020-06-27,Q3,10-Q,2020,2020-07-31
RevenueFromContractWithCustomerExcludingAssessedTax,209817000000.0,USD,2020-06-27,Q3,10-Q,2020,2020-07-31
